ActivePresenter.app
Adobe Acrobat DC
Adobe After Effects 2020
Adobe Animate 2020
Adobe Creative Cloud
Adobe Illustrator 2020
Adobe Lightroom CC
Adobe Lightroom Classic
Adobe Media Encoder 2020
Adobe Photoshop 2020
Adobe Premiere Pro 2020
Air Display Host.app
Android File Transfer.app
AnyDesk.app
Apple Configurator 2.app
Audacity
Beekeeper Studio.app
Blackmagic ATEM Switchers
Burp Suite Community Edition.app
Discord.app
Docker.app
Dropbox.app
FileZilla Pro.app
Firefox.app
FortiClient.app
FortiClientUninstaller.app
Forward Networks Collector
GNS3.app
Garmin Express.app
GoPro Quik.app
GoPro Webcam.app
Google Chrome.app
IINA.app
IriunWebcam.app
Jitsi.app
Keynote.app
Kindle.app
Local RTMP Server.app
MacDown.app
Mailspring.app
Maltego.app
Maxon Cinema 4D R22
Microsoft Outlook.app
Microsoft PowerPoint.app
Microsoft Remote Desktop.app
Microsoft Teams.app
MySQLWorkbench.app
NetSpot.app
Numbers.app
OBS.app
Obsidian.app
OneDrive.app
OpenVPN Connect
Osx Uninstaller.app
Pages.app
Pluralsight.app
Postman.app
PowerShell-preview.app
PowerShell.app
R.app
REAPER64.app
ReaMote64.app
RescueTime.app
SHAREit.app
Safari.app
Scenarist.app
Security Camera.app
Send to Kindle
Sensei.app
Slack.app
Spark.app
Splunk
Steam.app
Sublime Text (3207).app
Sublime Text.app
SyphonInject.app
Tableau Public.app
TeamViewer.app
The Unarchiver.app
TinyTake.app
Toolkit.app
Trello.app
Tunnelblick.app
Unity Hub.app
Utilities
VLC.app
VirtualBox.app
VirtualBox.pkg
Visual Studio Code.app
WhatsApp.app
Wireshark.app
Workplace Chat.app
Xcode.app
Zwift.app
balenaEtcher.app
calibre.app
iTerm.app
kdeconnect-indicator.app
krisp.app
ldaptools
qbittorrent.app
xca.app
zoom.us.app
